languages,area,country,postal_code_regex,tld,currency_name,phone,neighbours,iso,postal_code_format,capital,continent,currency_code,population
sv-AX,"1,580 square kilometres",Aland Islands,^(?:FI)*(\d{5})$,.ax,Euro,+358-18,"<div><a href=""/places/default/iso//""> </a></div>",AX,#####,Mariehamn,"<a href=""/places/default/continent/EU"">EU</a>",EUR,"26,711"
pt-AO,"1,246,700 square kilometres",Angola,,.ao,Kwanza,244,"<div><a href=""/places/default/iso/CD"">CD </a><a href=""/places/default/iso/NA"">NA </a><a href=""/places/default/iso/ZM"">ZM </a><a href=""/places/default/iso/CG"">CG </a></div>",AO,,Luanda,"<a href=""/places/default/continent/AF"">AF</a>",AOA,"13,068,161"
"fa-AF,ps,uz-AF,tk","647,500 square kilometres",Afghanistan,,.af,Afghani,93,"<div><a href=""/places/default/iso/TM"">TM </a><a href=""/places/default/iso/CN"">CN </a><a href=""/places/default/iso/IR"">IR </a><a href=""/places/default/iso/TJ"">TJ </a><a href=""/places/default/iso/PK"">PK </a><a href=""/places/default/iso/UZ"">UZ </a></div>",AF,,Kabul,"<a href=""/places/default/continent/AS"">AS</a>",AFN,"29,121,286"
en-AG,443 square kilometres,Antigua and Barbuda,,.ag,Dollar,+1-268,"<div><a href=""/places/default/iso//""> </a></div>",AG,,St. John&#x27;s,"<a href=""/places/default/continent/NA"">NA</a>",XCD,"86,754"
ar-DZ,"2,381,740 square kilometres",Algeria,^(\d{5})$,.dz,Dinar,213,"<div><a href=""/places/default/iso/NE"">NE </a><a href=""/places/default/iso/EH"">EH </a><a href=""/places/default/iso/LY"">LY </a><a href=""/places/default/iso/MR"">MR </a><a href=""/places/default/iso/TN"">TN </a><a href=""/places/default/iso/MA"">MA </a><a href=""/places/default/iso/ML"">ML </a></div>",DZ,#####,Algiers,"<a href=""/places/default/continent/AF"">AF</a>",DZD,"34,586,184"
"en-AS,sm,to",199 square kilometres,American Samoa,,.as,Dollar,+1-684,"<div><a href=""/places/default/iso//""> </a></div>",AS,,Pago Pago,"<a href=""/places/default/continent/OC"">OC</a>",USD,"57,881"
,"14,000,000 square kilometres",Antarctica,,.aq,,,"<div><a href=""/places/default/iso//""> </a></div>",AQ,,,"<a href=""/places/default/continent/AN"">AN</a>",,0
en-AI,102 square kilometres,Anguilla,,.ai,Dollar,+1-264,"<div><a href=""/places/default/iso//""> </a></div>",AI,,The Valley,"<a href=""/places/default/continent/NA"">NA</a>",XCD,"13,254"
"sq,el","28,748 square kilometres",Albania,,.al,Lek,355,"<div><a href=""/places/default/iso/MK"">MK </a><a href=""/places/default/iso/GR"">GR </a><a href=""/places/default/iso/CS"">CS </a><a href=""/places/default/iso/ME"">ME </a><a href=""/places/default/iso/RS"">RS </a><a href=""/places/default/iso/XK"">XK </a></div>",AL,,Tirana,"<a href=""/places/default/continent/EU"">EU</a>",ALL,"2,986,952"
ca,468 square kilometres,Andorra,^(?:AD)*(\d{3})$,.ad,Euro,376,"<div><a href=""/places/default/iso/ES"">ES </a><a href=""/places/default/iso/FR"">FR </a></div>",AD,AD###,Andorra la Vella,"<a href=""/places/default/continent/EU"">EU</a>",EUR,"84,000"
